"Combined_life_table_id","Age","Sx","lx","mx"
9,0,"0.9595",1,0
9,1,"0.9748",0.9595,0
9,2,"0.9748",0.9353206,0
9,3,"0.9781",0.911750521,0
9,4,"0.9781",0.891783184,0
9,5,"0.9781",0.872253133,0
9,6,"0.9843",0.853150789,0
9,7,"0.9843",0.839756322,0
9,8,"0.9843",0.826572147,0
9,9,"0.9843",0.813594965,0
9,10,"0.9945",0.800821524,0
9,11,"0.9945",0.796417005,0.03125
9,12,"0.9945",0.792036712,0.02955
9,13,"0.9945",0.78768051,0.06175
9,14,"0.9945",0.783348267,0.05295
9,15,"1",0.779039852,0.05515
9,16,"1",0.779039852,0.0417
9,17,"1",0.779039852,0.06585
9,18,"1",0.779039852,0.0578
9,19,"1",0.779039852,0.05445
9,20,"1",0.779039852,0.05305
9,21,"1",0.779039852,0.05305
9,22,"1",0.779039852,0.05305
9,23,"1",0.779039852,0.05305
9,24,"1",0.779039852,0.05305
9,25,"0.9964",0.779039852,0.04565
9,26,"0.9964",0.776235308,0.04565
9,27,"0.9964",0.773440861,0.04565
9,28,"0.9964",0.770656474,0.04565
9,29,"0.9964",0.767882111,0.04565
9,30,"0.9964",0.765117735,0.03725
9,31,"0.9964",0.762363311,0.03725
9,32,"0.9964",0.759618803,0.03725
9,33,"0.9964",0.756884176,0.03725
9,34,"0.9964",0.754159393,0.03725
9,35,"0.9891",0.751444419,0.03005
9,36,"0.9891",0.743253675,0.03005
9,37,"0.9891",0.73515221,0.03005
9,38,"0.9891",0.727139051,0.03005
9,39,"0.9891",0.719213235,0.03005
9,40,"0.975",0.711373811,0.01915
9,41,"0.975",0.693589465,0.01915
9,42,"0.975",0.676249729,0.01915
9,43,"0.975",0.659343486,0.01915
9,44,"0.975",0.642859898,0.01915
9,45,"0.975",0.626788401,0.00925
9,46,"0.975",0.611118691,0.00925
9,47,"0.975",0.595840724,0.00925
9,48,"0.975",0.580944706,0.00925
9,49,"0.975",0.566421088,0.00925
9,50,"0.9672",0.552260561,0.00365
9,51,"0.9672",0.534146414,0.00365
9,52,"0.9672",0.516626412,0.00365
9,53,"0.9672",0.499681066,0.00365
9,54,"0.9672",0.483291527,0.00365
9,55,"0.9672",0.467439565,0.0013
9,56,"0.9672",0.452107547,0.0013
9,57,"0.9672",0.437278419,0.0013
9,58,"0.9672",0.422935687,0.0013
9,59,"0.9672",0.409063397,0.0013
9,60,"0.931",0.395646117,0.0045
9,61,"0.931",0.368346535,0.0045
9,62,"0.931",0.342930624,0.0045
9,63,"0.931",0.319268411,0.0045
9,64,"0.931",0.297238891,0.0045
9,65,"0.931",0.276729407,0
9,66,"0.931",0.257635078,0
9,67,"0.931",0.239858258,0
9,68,"0.931",0.223308038,0
9,69,"0.931",0.207899783,0
9,70,"0.931",0.193554698,0
9,71,"0.931",0.180199424,0
9,72,"0.931",0.167765664,0
9,73,"0.931",0.156189833,0
9,74,"0.931",0.145412735,0
9,75,"0.931",0.135379256,0
9,76,"0.931",0.126038087,0
9,77,"0.931",0.117341459,0
9,78,"0.931",0.109244899,0
9,79,"0.931",0.101707001,0
9,80,"0.931",0.094689218,0
9,81,"0.931",0.088155661,0
9,82,"0.931",0.082072921,0
9,83,"0.931",0.076409889,0
9,84,"0.931",0.071137607,0
9,85,"0.931",0.066229112,0
9,86,"0.931",0.061659303,0
9,87,"0.931",0.057404811,0
9,88,"0.931",0.053443879,0
9,89,"0.931",0.049756252,0
9,90,"0",0.04632307,0
